,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
320,МКДОУ ОВ Детский сад Солнышко с. Уркарах,,,Муниципальная,150.0
321,МКОУ Калкнинская  СОШ гкп,,,Муниципальная,20.0
322,МБДОУ ДС № 24 Ромашка,370.0,,Муниципальная,370.0
323,МБДОУ ЦРРДС  № 1  Василек,164.0,,Муниципальная,164.0
324,МКДОУ ДС № 12 Юлдуз,203.0,,Муниципальная,203.0
325,МКДОУ ДС № 22 Солнышко,121.0,,Муниципальная,121.0
326,МБДОУ ЦРРДС № 29 Дельфинчик,460.0,,Муниципальная,460.0
327,МБДОУ ЦРРДС № 11 Светлячок,375.0,,Муниципальная,375.0
328,МБДОУ ДС №8 Дюймовочка,162.0,,Муниципальная,162.0
329,МБДОУ ЦРРДС № 28 Якорк,217.0,,Муниципальная,217.0
330,МБДОУ ЦРРДС № 23 Лесная сказка,233.0,,Муниципальная,233.0
331,МБДОУ ЦРРДС № 5 Гусельки,437.0,,Муниципальная,437.0
332,МБДОУ ДС №3 Аленушка,277.0,,Муниципальная,277.0
333,МБДОУ ДС № 16 Чебурашка,195.0,,Муниципальная,195.0
334,МБДОУ ДС № 26 Родничок,465.0,,Муниципальная,465.0
335,МБДОУ ЦРРДС № 14 Журавленок,387.0,,Муниципальная,387.0
336,МБДОУ ЦРРДС № 7 Ласточка,393.0,,Муниципальная,393.0
337,МБДОУ ДС №31 Улыбка,446.0,,Муниципальная,446.0
338,МБДОУ ДС №32 Соколенок зд Дагдизель,,,Муниципальная,125.0
339,МБДОУ ДС № 17 Буратино,386.0,,Муниципальная,386.0
340,МБДОУ ЦРРДС № 25 Джейран,407.0,,Муниципальная,407.0
341,МБДОУ ЦРРДС № 15 Незабудка,398.0,,Муниципальная,398.0
342,МБДОУ ДС № 21 Радуга,154.0,,Муниципальная,154.0
343,МБДОУ №33 Юбилейный,432.0,,Муниципальная,432.0
344,МБДОУ ДС №30 Звздочка,158.0,,Муниципальная,158.0
345,МБДОУ ЦРРДС  № 10 Ивушка,393.0,,Муниципальная,393.0
346,МБДОУ ДС №35,331.0,,Муниципальная,331.0
347,МБДОУ ДС №25 Лучик,465.0,,Муниципальная,465.0
348,МБДОУ ДС №95,245.0,,Муниципальная,245.0
349,МБДОУ ДС №33,148.0,,Муниципальная,148.0
350,МБДОУ ЦРРДС №85,332.0,,Муниципальная,332.0
351,МБДОУ ДС №21,353.0,,Муниципальная,353.0
352,МБДОУ ЦРРДС №87,452.0,,Муниципальная,452.0
353,МБДОУ ДС №42,265.0,,Муниципальная,265.0
354,МБДОУ ДС №20 Соколенок,,,Муниципальная,422.0
355,МБДОУ ДС №56,268.0,,Муниципальная,268.0
356,МБДОУ ЦРРДС №7,526.0,,Муниципальная,526.0
357,МБОУ Начальная школа  детский сад №27,215.0,,Муниципальная,215.0
358,МБДОУ ДС №19,241.0,,Муниципальная,241.0
359,МБДОУ ДС №77 Тюльпан МКР М5,411.0,,Муниципальная,411.0
360,МБДОУ ДС №60,232.0,,Муниципальная,232.0
361,МБДОУ ДС №94,181.0,,Муниципальная,181.0
362,МБДОУ ЦРРДС №84,229.0,,Муниципальная,229.0
363,МБДОУ ЦРРДС №59,352.0,,Муниципальная,352.0
364,МБДОУ ДС №4,147.0,,Муниципальная,147.0
365,МБДОУ ДС №1,128.0,,Муниципальная,128.0
366,МБОУ Начальная школа  детский сад № 78,300.0,,Муниципальная,300.0
367,МБДОУ ЦРРДС №49,596.0,,Муниципальная,596.0
368,МБДОУ ЦРРДС №37,448.0,,Муниципальная,448.0
369,МБДОУ ДС №83,189.0,,Муниципальная,189.0
370,МБДОУ ДС №53,289.0,,Муниципальная,289.0
371,МБДОУ ДС №45 Островок,369.0,,Муниципальная,369.0
372,МБДОУ ДС №29,129.0,,Муниципальная,129.0
373,МБДОУ ДС №2,145.0,,Муниципальная,145.0
374,МБДОУ ЦРРДС №50,427.0,,Муниципальная,427.0
375,МБДОУ ЦРРДС №38,376.0,,Муниципальная,376.0
376,МБДОУ ДС №6 Горянка,171.0,,Муниципальная,171.0
377,МБДОУ ДС №40,184.0,,Муниципальная,184.0
378,МБДОУ ДС №11,140.0,,Муниципальная,140.0
379,МБДОУ ДС №96,104.0,,Муниципальная,104.0
380,МБДОУ ДС №72,347.0,,Муниципальная,347.0
381,МБДОУ ДС №14,153.0,,Муниципальная,153.0
382,МБДОУ ДС №12,103.0,,Муниципальная,103.0
383,МБДОУ ЦРРДС №43,379.0,,Муниципальная,379.0
384,МБОУ Начальная школа  детский сад №52,229.0,,Муниципальная,229.0
385,МБДОУ ДС №73,238.0,,Муниципальная,238.0
386,МБОУ Прогимназия №68,197.0,,Муниципальная,197.0
387,МБДОУ ЦРРДС №39,374.0,,Муниципальная,374.0
388,МБДОУ ДС №41,255.0,,Муниципальная,255.0
389,МБДОУ ЦРРДС №34,236.0,,Муниципальная,236.0
390,МБДОУ ДС №63,448.0,,Муниципальная,448.0
391,МБДОУ ДС №90,219.0,,Муниципальная,219.0
392,МБДОУ ДС №65,248.0,,Муниципальная,248.0
393,МБДОУ ЦРРДС №81,461.0,,Муниципальная,461.0
394,МБДОУ ДС №47,400.0,,Муниципальная,400.0
395,МБДОУ ДС №88,249.0,,Муниципальная,249.0
396,МБДОУ ДС №3,240.0,,Муниципальная,240.0
397,МБДОУ ДС № 67 Родничок,,,Муниципальная,227.0
398,МБДОУ ДС №15,103.0,,Муниципальная,103.0
399,МБДОУ ЦРРДС №22,211.0,,Муниципальная,211.0
400,МБДОУ ЦРРДС №69,296.0,,Муниципальная,296.0
401,МБДОУ ЦРРДС №86,344.0,,Муниципальная,344.0
402,МБДОУ ЦРРДС №44,290.0,,Муниципальная,290.0
403,МБДОУ ДС №93,156.0,,Муниципальная,156.0
404,МБОУ Начальная школадетский сад №71,468.0,,Муниципальная,468.0
405,МБДОУ ЦРРДС №62,365.0,,Муниципальная,365.0
406,МБДОУ ЦРРДС №70,277.0,,Муниципальная,277.0
407,МБОУ Прогимназия №66,226.0,,Муниципальная,226.0
408,МБДОУ ДС №17,153.0,,Муниципальная,153.0
409,МБДОУ ДС №76,295.0,,Муниципальная,295.0
410,МБДОУ ДС №9,241.0,,Муниципальная,241.0
411,МБДОУ ДС №75,242.0,,Муниципальная,242.0
412,МБДОУ ЦРРДС №30,197.0,,Муниципальная,197.0
413,МБДОУ ДС №91,134.0,,Муниципальная,134.0
414,МБДОУ ДС №31,491.0,,Муниципальная,491.0
415,МБДОУ ДС №8,283.0,,Муниципальная,283.0
416,МКОУ СОШ № 4 ГКПдеят.приост.,,,Муниципальная,0.0
417,МКОУ Гимназия № 2 им.А.Сайтиева ГКПдеят.приост.,,,Муниципальная,75.0
418,МКОУ Гимназия им. М. Горького ГКПдеят.приост.,,,Муниципальная,8.0
419,МКОУ СОШ № 15 ГКПдеят.приост.,,,Муниципальная,0.0
420,МКОУ СОШ № 19 ГКПдеят.приост.,,,Муниципальная,80.0
421,МКОУ СОШ № 12 им. Л.Толстого ГКПдеят.приост.,,,Муниципальная,60.0
422,МКОУ Гимназия № 3 ГКПдеят.приост.,,,Муниципальная,75.0
423,МКДОУ ДС № 1 Теремок г.Хасавюрт,97.0,,Муниципальная,97.0
424,МКОУ Прогимназия № 6 Ивушка,360.0,,Муниципальная,360.0
425,МКДОУ ДС № 3 Берзка г.Хасавюрт,192.0,,Муниципальная,192.0
426,МКОУ СОШ № 10 им. Исмаилова ГКПдеят.приост.,,,Муниципальная,60.0
427,МКОУ прогимназия №10 Сказка,244.0,,Муниципальная,244.0
428,МКДОУ ДС № 7 Улыбка,,,Муниципальная,323.0
429,МКОУ СОШ № 14 ГКП деят. приост.,0.0,,Муниципальная,0.0
430,МКДОУ ДС № 2 Колокольчик г.Хасавюрт,88.0,,Муниципальная,88.0
431,МКОУ СОШ № 9 ГКПдеят.приост.,,,Муниципальная,33.0
432,МКОУ СОШ № 8 ГКПдеят.приост.,,,Муниципальная,30.0
433,МКОУ СОШ № 5 ГКПдеят. приост,,,Муниципальная,0.0
434,МКОУ СОШ № 2ГКПдеят.приост.,,,Муниципальная,16.0
435,МКОУ СОШ № 11  ГКПдеят.приост.,,,Муниципальная,50.0
436,МКДОУ ДС № 4 Звздочка г.Хасавюрт,357.0,,Муниципальная,357.0
437,МКДОУ ЦРР Детский сад № 8 Крепыш,225.0,,Муниципальная,225.0
438,МКДОУ Прогимназия 9 Ручек,193.0,,Муниципальная,193.0
439,МКОУ СОШ № 17 ГКПдеят.приост.,,,Муниципальная,75.0
440,МКДОУ ДС № 5 Алнушка г.Хасавюрт,217.0,,Муниципальная,217.0
441,МКОУ СОШ № 7 им. Алибекова ГКПдеят.приост.,,,Муниципальная,0.0
442,МКОУ Детский сад №11 Светлячок пос. Бальюрт,,,Муниципальная,323.0
443,МКОУ Аксайская СОШ № 1 им. З.Н.Батырмурзаева ГКП,,,Муниципальная,31.0
444,МКОУ Сивухская СОШ ГКП,,,Муниципальная,84.0
445,МКОУ Костекская СОШ им. Б.Ш.Бакиева ГКП,,,Муниципальная,3.0
446,МКОУ Ст.Карланюртовская СОШ ГКП,,,Муниципальная,22.0
447,МКОУ Борагангечувская СОШ ГКП,,,Муниципальная,24.0
448,МКОУ Эндирейская СОШ № 1 ГКП,,,Муниципальная,36.0
449,МКОУ Кадыротарская СОШ ГКП,,,Муниципальная,8.0
450,МКОУ Кемсиюртовская СОШ ГКП,,,Муниципальная,20.0
451,МКОУ Солнечная СОШ ГКП,,,Муниципальная,48.0
452,МБДОУ ДС Родничок с.Новосельское,139.0,,Муниципальная,139.0
453,МКОУ Курушская СОШ № 2 им. Я.С.Аскандарова ГКП,,,Муниципальная,22.0
454,МКОУ Карланюртовская СОШ им. А.Д.Шихалиева ГКП,,,Муниципальная,60.0
455,МКОУ Петраковская СОШ ГКП,,,Муниципальная,37.0
456,МКОУ Аксайская СОШ № 2 им. Х.Г.Магидова ГКП,,,Муниципальная,14.0
457,МКОУ Моксобская СОШ им. ОГ.М.Шахтаманова ГКП,,,Муниципальная,7.0
458,МКОУ Генжеаульская СОШ им. М.М.Зумаева ГКП,,,Муниципальная,18.0
459,МКОУ Первомайская СОШ им.И.Г.Исакова ГКП,,,Муниципальная,30.0
460,МКОУ Теречная СОШ ГКП,,,Муниципальная,30.0
461,МКОУ Темираульская СОШ им. Б.Ш.Баймурзаева ГКП,,,Муниципальная,50.0
462,МКОУ Аджимажагатюртовская СОШ ГКП,,,Муниципальная,10.0
463,МКОУ Новогагатлинская СОШ им. Х.С.Салимова ГКП,,,Муниципальная,59.0
464,МКОУ Гоксувотарская СОШ ГКП,,,Муниципальная,15.0
465,МКОУ Казмааульская СОШ ГКП,,,Муниципальная,29.0
466,МБДОУ ДС Восточное с. Восточный г.Хасавюрт,260.0,,Муниципальная,260.0
467,МБДОУ ДС Ромашка с.Костек,130.0,,Муниципальная,130.0
468,МКОУ Пятилеткинская СОШ ГКП,,,Муниципальная,21.0
469,МКОУ Новосельская СОШ ГКП,,,Муниципальная,33.0
470,МКОУ Адильотарская СОШ ГКП,,,Муниципальная,32.0
471,МБДОУ ДС Ивушка с.Аксай,165.0,,Муниципальная,165.0
472,МКОУ Советская СОШ им. Ш.Т.Амичева ГКП,,,Муниципальная,21.0
473,МБДОУ ДС Солнышко г.Хасавюрт,429.0,,Муниципальная,429.0
474,МКОУ Новосаситлинская СОШ ГКП,,,Муниципальная,18.0
475,МБДОУ ДС Теремок с.Тотурбийкала,,,Муниципальная,180.0
476,МБДОУ ДС Сказка с.Бамматюрт,185.0,,Муниципальная,185.0
477,МКОУ Хамавюртовская СОШ им.А.М.Аджиева ГКП,,,Муниципальная,72.0
478,МБДОУ ДС Радуга с.Новогагатли,171.0,,Муниципальная,171.0
479,МБДОУ ДС Седа с.Солнечное,287.0,,Муниципальная,287.0
480,МКОУ Тукитинская СОШ ГКП,,,Муниципальная,9.0
481,МКОУ Гимназия Культуры мира им. А.Д.Адилсолтанова ГКП,,,Муниципальная,53.0
482,МБДОУ ДС Улыбка с.Кокрек,297.0,,Муниципальная,297.0
483,МКОУ Тотурбийкалинская СОШ гкп,,,Муниципальная,18.0
484,МБДОУ ДС Звездочка с.Новый Костек,,,Муниципальная,142.0
485,МКОУ Эндирейская СОШ № 2 ГКП,,,Муниципальная,7.0
486,МКОУ Османюртовская СОШ ГКП,,,Муниципальная,50.0
487,МКОУ Бамматюртовская СОШ ГКП,,,Муниципальная,10.0
488,МКОУ Сулевкентская СОШ им.С.А.Абдулаева ГКП,,,Муниципальная,31.0
489,МКОУ Садовая СОШ ГКП,,,Муниципальная,13.0
490,МКОУ Покровская СОШ ГКП,,,Муниципальная,60.0
491,МКОУ Октябрьская СОШ ГКП,,,Муниципальная,33.0
492,МКОУ Муцалаульская СОШ № 2 ГКП,,,Муниципальная,38.0
493,МКОУ Могилевская СОШ им. Н.У.Азизова ГКП,,,Муниципальная,55.0
494,МКОУ Кокрекская СОШ ГКП,,,Муниципальная,28.0
495,МКОУ Кандаураульская СОШ им. О.К.Кандаурова ГКП,,,Муниципальная,25.0
496,МКОУ Ичичалинская СОШ им. Б.Г.Битарова ГКП,,,Муниципальная,15.0
497,МКОУ Байрамаульская СОШ ГКП,,,Муниципальная,47.0
498,МКОУ Чагаротарская СОШ им.А.И.Исмаилова ГКП,,,Муниципальная,54.0
499,МКОУ Боташюртовская СОШ им.Б.Т.Ахаева ГКП,,,Муниципальная,51.0
500,МКОУ Муцалаульская СОШ № 1 им.А.Я.Абдуллаева гкп,,,Муниципальная,90.0
501,МКОУ Акбулатюртовская СОШ ГКП,,,Муниципальная,11.0
502,МКОУ Новокостекская СОШ ГКП,,,Муниципальная,75.0
503,МКОУ Курушская СОШ № 1 им. А.Б.Айдунова ГКП,,,Муниципальная,47.0
504,МКОУ Ботаюртовская СОШ им. Н.П.Жердева ГКП,,,Муниципальная,34.0
505,МКОУ Шагадинская СОШ ГКП,,,Муниципальная,25.0
506,МКОУ Дзержинская СОШ ГКП,,,Муниципальная,19.0
507,МБДОУ ДС Салам с.Новосасетли,120.0,,Муниципальная,120.0
508,МБДОУ ДС Ласточка с.Эндирей,,,Муниципальная,184.0
509,МКДОУ  Детский сад Аленушка с.Новокаракюре,79.0,,Муниципальная,79.0
510,МКДОУ Детский сад Ласточка с.Усухчай,,,Муниципальная,111.0
511,МКОУ Курушская СОШ гкп,,,Муниципальная,13.0
512,МКДОУ Детский сад Солнышко с.Мискинджа,60.0,,Муниципальная,60.0
513,МКДОУ Венера с.Микрах деят. приост.,0.0,,Муниципальная,0.0
514,МКДОУ Звездочка с. Авадан на кап. рем.,,,Муниципальная,0.0
515,МКОУ Аваданская СОШ гкп,,,Муниципальная,51.0
516,МКОУ Каракюринская СОШ гкп,,,Муниципальная,11.0
517,МКОУ Микрахказмалярская СОШ гкпдеят. приост.,,,Муниципальная,0.0
518,МКДОУ  Детский сад Бахча с. Килер,101.0,,Муниципальная,101.0
519,МКОУ Гимназия Культуры мира с.Гуни гкп,,,Муниципальная,13.0
520,МКДОУ Дс Лачен с.Гертма,80.0,,Муниципальная,80.0
521,МКДОУ Дс Чебурашка с.Ленинаул,170.0,,Муниципальная,170.0
522,МКДОУ ЦРР  Дс №1 Сказка с.Дылым,292.0,,Муниципальная,292.0
523,МКОУ Ленинаульская  СОШ №1  имени Героя СССР Х.Нурадилова гкп,,,Муниципальная,34.0
524,МКДОУ Дс Колокольчик Калининаул,205.0,,Муниципальная,205.0
525,МКДОУ Дс Солнышко с.Инчха,135.0,,Муниципальная,135.0
526,МКДОУ ЦРР Детский сад №3 Журавушка с.Дылым,292.0,,Муниципальная,292.0
527,МКДОУ Детский сад Радуга с.Ленинаул,,,Муниципальная,255.0
528,МКДОУ Дс №2 Солнышко пгт.Дубки,143.0,,Муниципальная,143.0
529,МКДОУ Дс №1 Ромашка пгт.Дубки,160.0,,Муниципальная,160.0
530,МКДОУ Дс Улыбка с.Гуни,143.0,,Муниципальная,143.0
531,МКДОУ Дс общеразвивающего вида №2 Светлячок с.Дылым,166.0,,Муниципальная,166.0
532,МКДОУ Дс Ласточка с.Хубар,80.0,,Муниципальная,80.0
533,МКДОУ Детский сад  Колобок с.Алмак,75.0,,Муниципальная,75.0
534,МКДОУ Детский сад имени  Гаджи Махачева,70.0,,Муниципальная,70.0
535,МКОУ Калининаульская СОШ имени Героя России Гайирханова М.М. ГКП,,,Муниципальная,34.0
536,МКОУ Гертминская СОШ им. Абдулмуслимова М.А. ГКПреконстр.,,,Муниципальная,14.0
537,МКОУ Киркинская СОШ им. Аликберова Г.А. ГКПдеят.приост.,,,Муниципальная,8.0
538,МКДОУ ДС Чебурашка с.Оружба,62.0,,Муниципальная,62.0
539,МКДОУ ДС Ласточка с.Советское,113.0,,Муниципальная,113.0
540,МКОУ ЧахчахКазмалярская СОШ им. М.М.Мерзаметова ГКП,,,Муниципальная,28.0
541,МКОУ Целегюнская СОШ ГКПдеят.приост.,,,Муниципальная,11.0
542,МКОУ Советская СОШ ГКПдеят.приост.,,,Муниципальная,30.0
543,МКОУ Картасказмалярская СОШ ГКПдеят.приост.,,,Муниципальная,19.0
544,МКОУ Ярагказмалярская СОШ им. М.Ярагского ГКП,,,Муниципальная,42.0
545,МКОУ БутКазмалярская СОШ ГКП,,,Муниципальная,32.0
546,МКДОУ ДС Русалочка с.Приморское,,,Муниципальная,44.0
547,МКДОУ ДС Ромашка с.Новый Аул,26.0,,Муниципальная,26.0
548,МКДОУ ДС Родничок с.Азадоглы,25.0,,Муниципальная,25.0
549,МКОУ Новоаульская СОШ им. Исмаилова Т. ГКП,,,Муниципальная,34.0
550,МКОУ Тагиркентказмалярская СОШ ГКП,,,Муниципальная,28.0
551,МКОУ Хорельская СОШ ГКПдеят.приост.,,,Муниципальная,10.0
552,МКОУ Приморская ООШ ГКП деят. приост.,,,Муниципальная,0.0
553,МКДОУ ДС Колобок с.Кирка,61.0,,Муниципальная,61.0
554,МКОУ Кчунказмалярская СОШ ГКП,,,Муниципальная,15.0
555,МКОУ Ходжаказмалярская СОШ им. М.К.Казиева ГКП,,,Муниципальная,7.0
556,МКОУ Гильярская СОШ ГКП,,,Муниципальная,21.0
557,МКДОУ ДС Теремок с.Магарамкент,83.0,,Муниципальная,83.0
558,МКОУ Кличханская ООШ ГКП,,,Муниципальная,4.0
559,МКОУ Оружбинская СОШ ГКПдеят.приост.,,,Муниципальная,24.0
560,МКОУ Мугерганская СОШ ГКПдеят.приост.,,,Муниципальная,9.0
561,МКДОУ ДС Сказка с.Гапцах,117.0,,Муниципальная,117.0
562,МКДОУ ДС Красная шапочка с.Советское,65.0,,Муниципальная,65.0
563,МКДОУ ДС Золушка с.Бут,65.0,,Муниципальная,65.0
564,МКДОУ ДС Солнышко с.Магарамкент,251.0,,Муниципальная,251.0
565,МКДОУ ДС Радуга с.Гильяр,60.0,,Муниципальная,60.0
566,МКДОУ ДС Дюймовочка с.Картасказмаляр,50.0,,Муниципальная,50.0
567,МКДОУ ДС Соколенок с.ТагиркентКазмаляр,70.0,,Муниципальная,70.0
568,МКОУ Магарамкентская СОШ №2 ГКП,,,Муниципальная,14.0
569,МКОУ Хутунказмалярская ООШ ГКП,,,Муниципальная,24.0
570,МКОУ Билбильская СОШ им. М.Абдуллаева ГКП,,,Муниципальная,28.0
571,МКДОУ ДС Звездочка с.ТагиркентКазмаляр,20.0,,Муниципальная,20.0
572,МКДОУ ДС Билбил с.Билбиль,43.0,,Муниципальная,43.0
573,МКОУ Магарамкентская СОШ №1 им. М.Гаджиева гкп,,,Муниципальная,44.0
574,МКДОУ ДС Улыбка с.Ярагказмаляр,134.0,,Муниципальная,134.0
575,МКОУ  Гапцахская СОШ им. Т.Н.Нагиева ГКП,,,Муниципальная,23.0
576,МКОУ Филялинская СОШ ГКП,,,Муниципальная,21.0
577,МКОУ Тагиркентская ООШ ГКПдеят.приост.,,,Муниципальная,7.0
578,МКДОУ ДС Лесная с.Самур,20.0,,Муниципальная,20.0
579,МКДОУ ДС Буратино с.Куйсун,60.0,,Муниципальная,60.0
580,МКДОУ ДС Алнушка с.Филя,91.0,,Муниципальная,91.0
581,МКОУ Ярукваларская основная общеобразовательная школа ГКП,,,Муниципальная,6.0
582,МКОУ Азадоглынская СОШ ГКПдеят.приост.,,,Муниципальная,18.0
583,МКОУ Куйсунская СОШ ГКП,,,Муниципальная,28.0
584,МКОУ Джепельская ООШ ГКП,,,Муниципальная,9.0
585,МКОУ Самурская СОШ ГКП,,,Муниципальная,45.0
586,МКОУ Гарахская ООШ ГКПдеят.приост,,,Муниципальная,0.0
587,МКОУ Капирказмалярская СОШ ГКП,,,Муниципальная,32.0
588,МКДОУ ДС № 10 города Буйнакска,94.0,,Муниципальная,94.0
589,МКОУ СОШ №10 предшкольная подготовка Солнечный круг г.Буйнакск,107.0,,Муниципальная,107.0
590,МКДОУ ЦРР  ДС№ 16 Журавлик г.Буйнакска,212.0,,Муниципальная,212.0
591,МКДОУ ДС № 9 Радуга г.Буйнакска,76.0,,Муниципальная,76.0
592,МКДОУ ДС № 3 Вишенка г.Буйнакска,215.0,,Муниципальная,215.0
593,МКДОУ ЦРР  ДС№ 8 г. Буйнакска,,,Муниципальная,283.0
594,МКДОУ ЦРР  ДС№ 5 Ветерок г.Буйнакска,165.0,,Муниципальная,165.0
595,МКДОУ ДС № 7 Ласточка  г.Буйнакска,86.0,,Муниципальная,86.0
596,МКДОУ ЦРР  ДС№ 19 Соколенок г.Буйнакскадеят.приост.,,,Муниципальная,197.0
597,МКДОУ ЦРР  ДС№ 17 города Буйнакска,193.0,,Муниципальная,193.0
598,МКДОУ ЦРР  ДС№ 14 города Буйнакска,175.0,,Муниципальная,175.0
599,МКДОУ Детский сад №20 г.Буйнакска ДК,,,Муниципальная,308.0
600,МБДОУ ЦРР ДС №1 Светлячок г.Буйнакска,469.0,,Муниципальная,469.0
601,МКДОУ ЦРР  ДС№ 13 города Буйнакска,160.0,,Муниципальная,160.0
602,МКДОУ ДС № 18 Солнышко г.Буйнакска,106.0,,Муниципальная,106.0
603,МКДОУ ДС № 15 города Буйнакска,101.0,,Муниципальная,101.0
604,МКДОУ ДС № 4 города Буйнакска,11.0,,Муниципальная,11.0
605,МКДОУ ЦРР  ДС№ 12 города Буйнакска,182.0,,Муниципальная,182.0
606,МКДОУ ДС № 11 Сказка г.Буйнакска,361.0,,Муниципальная,361.0
607,МКДОУ ЦРР  ДС№ 6 Гнездышко г.Буйнакска,246.0,,Муниципальная,246.0
608,МБДОУ Детский сад №1 Родничок,186.0,,Муниципальная,186.0
609,МБДОУ Детский сад № 3 Улыбка,321.0,,Муниципальная,321.0
610,МБДОУ ДС №6 Орленок,,,Муниципальная,135.0
611,МБДОУ детский сад №4 Соколенок,274.0,,Муниципальная,274.0
612,МБДОУ Детский сад №2 Изюминка,180.0,,Муниципальная,180.0
613,МБДОУ ДС № 5 Дружба,215.0,,Муниципальная,215.0
614,МБДОУ № 25 Золушка,190.0,,Муниципальная,190.0
615,МБДОУ № 6ликвид.,,,Муниципальная,48.0
616,МБДОУ № 3,90.0,,Муниципальная,90.0
617,МБДОУ ЦРР № 2 Горяночка,93.0,,Муниципальная,93.0
618,МБДОУ № 16 Чебурашка,167.0,,Муниципальная,167.0
619,МБДОУ №13 Незабудка,,,Муниципальная,168.0
620,МБДОУ ЦРР № 33 Русалочка,172.0,,Муниципальная,172.0
621,МБДОУ № 19 Паровозик,159.0,,Муниципальная,159.0
622,МБДОУ № 1,126.0,,Муниципальная,126.0
623,МБДОУ № 9 Счастливое детство,176.0,,Муниципальная,176.0
624,МБДОУ ДС №24 Пчелка рон Аэропорт,,,Муниципальная,62.0
625,МБДОУ № 17,39.0,,Муниципальная,39.0
626,МБДОУ № 5 Надежда,99.0,,Муниципальная,99.0
627,МБДОУ ЦРР № 30 Улыбка,483.0,,Муниципальная,483.0
628,МБДОУ ЦРР № 14 Ласточка,344.0,,Муниципальная,344.0
629,МБДОУ ЦРР № 11 Петушок,253.0,,Муниципальная,253.0
630,МБДОУ № 7 Улдуз,142.0,,Муниципальная,142.0
631,МБДОУ № 29 Колокольчик,127.0,,Муниципальная,127.0
632,МБДОУ № 12 Теремок,164.0,,Муниципальная,164.0
633,МБДОУ № 10 Дюймовочка,203.0,,Муниципальная,203.0
634,МБДОУ № 21 Аленький цветок,372.0,,Муниципальная,372.0
635,МБДОУ Прогимназия №18,117.0,,Муниципальная,117.0
636,МБДОУ № 23,255.0,,Муниципальная,255.0
637,МБДОУ ЦРР № 22,141.0,,Муниципальная,141.0
638,МБДОУ № 8 Радуга,130.0,,Муниципальная,130.0
639,МБДОУ Прогимназия №15,168.0,,Муниципальная,168.0
640,МБДОУ ЦРР № 4 Василек,136.0,,Муниципальная,136.0
641,МБДОУ № 31 Росинкаликвид.,,,Муниципальная,95.0
642,МБДОУ ЦРР № 28,318.0,,Муниципальная,318.0
643,МБДОУ ЦРР № 20 Аленушка,338.0,,Муниципальная,338.0
644,МКДОУ Детский сад №14,111.0,,Муниципальная,111.0
645,МКДОУ Детский сад №3,95.0,,Муниципальная,95.0
646,МКДОУ ЦРРДетский сад №8,376.0,,Муниципальная,376.0
647,МКДОУ Детский сад №2,139.0,,Муниципальная,139.0
648,МКДОУ Детский сад №4,132.0,,Муниципальная,132.0
649,МКДОУ ЦРРДетский сад №11,439.0,,Муниципальная,439.0
650,МКОУ СОШ №2 гкп деят. приост.,0.0,,Муниципальная,0.0
651,МКОУ СОШ №10 гкп деят. приост.,0.0,,Муниципальная,0.0
652,МКДОУ Детский сад №13,120.0,,Муниципальная,120.0
653,МКОУ СОШ №12 гкп  деят. приост.,0.0,,Муниципальная,0.0
654,МКДОУ Детский сад №6,206.0,,Муниципальная,206.0
655,МКДОУ Детский сад №1,140.0,,Муниципальная,140.0
656,МКДОУ Детский сад №10,479.0,,Муниципальная,479.0
657,МКДОУ ЦРРДетский сад №12 Пчелка,409.0,,Муниципальная,409.0
658,МКДОУ дс № 12,159.0,,Муниципальная,159.0
659,МКДОУ дс № 8,101.0,,Муниципальная,101.0
660,МКДОУ ЦРР  дс № 11,,,Муниципальная,320.0
661,МКДОУ ЦРР  дс №5,288.0,,Муниципальная,288.0
662,МКОУ Прогимназия Ласточка,198.0,,Муниципальная,198.0
663,МКДОУ ЦРРдс № 6,135.0,,Муниципальная,135.0
664,МКДОУ дс №7 Дюймовочка,147.0,,Муниципальная,147.0
665,МКДОУ дс №14 Радуга мкр. Черемушки,,,Муниципальная,334.0
666,МКОУ МПЛ №2  им. С.М.Кирова гкпдеят. приост.,,,Муниципальная,0.0
667,МКДОУ дс №10,152.0,,Муниципальная,152.0
668,МКДОУ дс № 2 Березка,86.0,,Муниципальная,86.0
669,МКДОУ дс №13 Светлячок,174.0,,Муниципальная,174.0
670,МКДОУ дс № 9 Красная шапочка,105.0,,Муниципальная,105.0
671,МКДОУ дс № 3 Тополк,165.0,,Муниципальная,165.0
672,МКОУ Кизлярская гимназия №6 им. А.С.Пушкина гкпдеят. приост.,,,Муниципальная,0.0
673,МКДОУ дс № 1 Синяя птица,172.0,,Муниципальная,172.0
